2024-09-02 00:05:17 | ptvicomo_log | INFO     | selenium_ptvicomo_cookie_04.py:495 | 连接到 MYSQL 成功!
2024-09-02 00:05:17 | ptvicomo_log | INFO     | selenium_ptvicomo_cookie_04.py:453 | 获取【星期几】成功:星期一
2024-09-02 00:05:17 | ptvicomo_log | INFO     | selenium_ptvicomo_cookie_04.py:456 | 获取【当前时间】成功:2024-09-02 00:05:17
2024-09-02 00:05:17 | ptvicomo_log | INFO     | selenium_ptvicomo_cookie_04.py:459 | 获取【当前周数】成功:35
2024-09-02 00:05:17 | ptvicomo_log | INFO     | selenium_ptvicomo_cookie_04.py:328 | 获取【名称】成功:水润象芦笋
2024-09-02 00:05:17 | ptvicomo_log | INFO     | selenium_ptvicomo_cookie_04.py:332 | 获取【市场单价】成功:245
2024-09-02 00:05:17 | ptvicomo_log | INFO     | selenium_ptvicomo_cookie_04.py:336 | 获取【累计盈利】成功：400354
2024-09-02 00:05:17 | ptvicomo_log | INFO     | selenium_ptvicomo_cookie_04.py:340 | 获取【当前可卖数量】成功：250
2024-09-02 00:05:17 | ptvicomo_log | INFO     | selenium_ptvicomo_cookie_04.py:353 | 获取【成本】成功：292
2024-09-02 00:05:17 | ptvicomo_log | INFO     | selenium_ptvicomo_cookie_04.py:357 | 获取【利润率】成功：-16.1%
2024-09-02 00:05:17 | ptvicomo_log | INFO     | selenium_ptvicomo_cookie_04.py:366 | 获取【距离下个星期日还有多少小时】成功:143
2024-09-02 00:05:17 | ptvicomo_log | INFO     | selenium_ptvicomo_cookie_04.py:384 | 获取【当前操作】成功：提取数据
2024-09-02 00:05:17 | ptvicomo_log | INFO     | selenium_ptvicomo_cookie_04.py:534 | ('水润象芦笋', 245, 400354, 250, 292, 0, '提取数据', '2024-09-02 00:05:17', 35, 0, 0)
2024-09-02 00:05:17 | ptvicomo_log | INFO     | selenium_ptvicomo_cookie_04.py:537 | 数据插入成功！
2024-09-02 00:05:17 | ptvicomo_log | INFO     | selenium_ptvicomo_cookie_04.py:538 | ------------------------------
